# Wall shear stress
# Time          	patch           	min             	max             
0.0499878       	plate	(-1.59932248e+01 -1.60438721e-01 0.00000000e+00)	(-6.01963114e+00 1.76992482e-02 0.00000000e+00)
0.0999872       	plate	(-1.59932100e+01 -1.60438737e-01 0.00000000e+00)	(-5.48395307e+00 1.76994078e-02 0.00000000e+00)
0.149987        	plate	(-1.59932065e+01 -1.60438640e-01 0.00000000e+00)	(-5.45827827e+00 1.76995184e-02 0.00000000e+00)
0.199986        	plate	(-1.59932033e+01 -1.60438578e-01 0.00000000e+00)	(-5.45827447e+00 1.76994768e-02 0.00000000e+00)
0.249985        	plate	(-1.59932030e+01 -1.60438599e-01 0.00000000e+00)	(-5.45827439e+00 1.76994831e-02 0.00000000e+00)
0.299985        	plate	(-1.59932034e+01 -1.60438582e-01 0.00000000e+00)	(-5.45827422e+00 1.76994703e-02 0.00000000e+00)
0.349984        	plate	(-1.59932029e+01 -1.60438599e-01 0.00000000e+00)	(-5.45827422e+00 1.76994820e-02 0.00000000e+00)
0.399984        	plate	(-1.59932027e+01 -1.60438609e-01 0.00000000e+00)	(-5.45827422e+00 1.76994848e-02 0.00000000e+00)
0.449983        	plate	(-1.59932036e+01 -1.60438559e-01 0.00000000e+00)	(-5.45827422e+00 1.76994665e-02 0.00000000e+00)
0.499982        	plate	(-1.59932034e+01 -1.60438569e-01 0.00000000e+00)	(-5.45827422e+00 1.76994673e-02 0.00000000e+00)
