# y+ ()         
# Time          	patch           	min             	max             	average         
0.0499878       	plate	1.53087164e+01	2.44738215e+01	1.79125842e+01
0.0999872       	plate	1.45134325e+01	2.44738193e+01	1.78378006e+01
0.149987        	plate	1.44747672e+01	2.44738024e+01	1.78370889e+01
0.199986        	plate	1.44747622e+01	2.44738001e+01	1.78370889e+01
0.249985        	plate	1.44747624e+01	2.44737979e+01	1.78370889e+01
0.299985        	plate	1.44747622e+01	2.44737985e+01	1.78370889e+01
0.349984        	plate	1.44747622e+01	2.44737977e+01	1.78370889e+01
0.399984        	plate	1.44747622e+01	2.44737963e+01	1.78370889e+01
0.449983        	plate	1.44747622e+01	2.44738004e+01	1.78370889e+01
0.499982        	plate	1.44747622e+01	2.44737991e+01	1.78370889e+01
