y,U_0,U_1,U_2
3.67181e-05,1.48865,0.000434269,0
0.000114497,4.59623,0.00214956,0
0.000201473,8.00997,0.00594554,0
0.000298735,11.7672,0.0125564,0
0.000407499,15.8237,0.0225908,0
0.000529125,20.0689,0.0363743,0
0.000665135,24.3131,0.053653,0
0.000817228,28.3063,0.0733284,0
0.000987308,31.7949,0.0935351,0
0.0011775,34.5959,0.112154,0
0.00139019,36.647,0.127499,0
0.00162802,38.0084,0.138788,0
0.00189399,38.8222,0.146183,0
0.0021914,39.2573,0.150494,0
0.00252399,39.4637,0.152745,0
0.00289591,39.5499,0.153832,0
0.00331181,39.5812,0.154365,0
0.00377689,39.5908,0.15468,0
0.00429698,39.5931,0.154931,0
0.00487856,39.593,0.155176,0
0.00552893,39.5923,0.155435,0
0.0062562,39.5913,0.155711,0
0.00706949,39.5902,0.156008,0
0.00797895,39.5888,0.156316,0
0.00899596,39.5873,0.156675,0
0.0101332,39.5854,0.156873,0
0.011405,39.5832,0.157853,0
0.0128272,39.5808,0.155927,0
0.0144175,39.5775,0.162646,0
0.016196,39.5749,0.149626,0
0.0181847,39.5695,0.17153,0
0.0204086,39.5665,0.142783,0
0.0228955,39.5591,0.177274,0
0.0256765,39.5541,0.139904,0
