# y+ ()       
# Time        	patch         	min           	max           	average       
0             	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.00496967    	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.00996967    	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0149697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0199697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0249697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0299697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0349697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0399697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0449697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
0.0499697     	plate	0.000000e+00	0.000000e+00	0.000000e+00
